"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightsleetshowers_polartwilight.svg", "XML", 0, 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightsnow.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightsnowandthunder.svg", "XML", 0, 0, 0, 0, 27, 0, 0, 1, 28
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightsnowshowers_day.svg", "XML", 0, 0, 0, 0, 41, 0, 0, 1, 42
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightsnowshowers_night.svg", "XML", 0, 0, 0, 0, 34, 0, 0, 1, 35
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightsnowshowers_polartwilight.svg", "XML", 0, 0, 0, 0, 50, 0, 0, 1, 51
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightssleetshowersandthunder_day.svg", "XML", 0, 0, 0, 0, 54, 0, 0, 1, 55
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightssleetshowersandthunder_night.svg", "XML", 0, 0, 0, 0, 47, 0, 0, 1, 48
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightssleetshowersandthunder_polartwilight.svg", "XML", 0, 0, 0, 0, 63, 0, 0, 1, 64
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightssnowshowersandthunder_day.svg", "XML", 0, 0, 0, 0, 51, 0, 0, 1, 52
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightssnowshowersandthunder_night.svg", "XML", 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\lightssnowshowersandthunder_polartwilight.svg", "XML", 0, 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\partlycloudy_day.svg", "XML", 0, 0, 0, 0, 36, 0, 0, 1, 37
